ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
099-70-9707|4332705711904|Jennifer|Long|F|9009 Livingston Corner Apt. 931|Catheys Valley|CA|95306|37.4404|-120.1438|970|Psychologist, forensic|1979-04-30|629588601083|adults_2550_female_rural.json|36cb44922e7c5999249b39d79adde9ef|2024-02-04|02:23:52|1707009832|grocery_pos|12.01|1|fraud_Kiehn-Emmerich|36.813891|-120.298530
099-70-9707|4332705711904|Jennifer|Long|F|9009 Livingston Corner Apt. 931|Catheys Valley|CA|95306|37.4404|-120.1438|970|Psychologist, forensic|1979-04-30|629588601083|adults_2550_female_rural.json|d16dcd1facfbe9ab10e081e7eb77e1fa|2024-02-04|01:55:17|1707008117|gas_transport|351.03|1|fraud_Heller-Langosh|38.062696|-120.306742
099-70-9707|4332705711904|Jennifer|Long|F|9009 Livingston Corner Apt. 931|Catheys Valley|CA|95306|37.4404|-120.1438|970|Psychologist, forensic|1979-04-30|629588601083|adults_2550_female_rural.json|40ec25f6ab40780158e178bc8d5a9965|2024-02-04|03:33:02|1707013982|grocery_pos|319.22|1|fraud_Rowe, Batz and Goodwin|37.148416|-119.538630
099-70-9707|4332705711904|Jennifer|Long|F|9009 Livingston Corner Apt. 931|Catheys Valley|CA|95306|37.4404|-120.1438|970|Psychologist, forensic|1979-04-30|629588601083|adults_2550_female_rural.json|122fa85a39bad81abd63dd9884033458|2024-02-04|03:20:24|1707013224|misc_pos|334.91|1|fraud_Simonis-Prohaska|37.156957|-119.789503
099-70-9707|4332705711904|Jennifer|Long|F|9009 Livingston Corner Apt. 931|Catheys Valley|CA|95306|37.4404|-120.1438|970|Psychologist, forensic|1979-04-30|629588601083|adults_2550_female_rural.json|358710ed5eff992175ec4aa159a080da|2024-02-04|00:45:49|1707003949|shopping_pos|373.03|1|fraud_Denesik and Sons|36.906828|-120.541305
099-70-9707|4332705711904|Jennifer|Long|F|9009 Livingston Corner Apt. 931|Catheys Valley|CA|95306|37.4404|-120.1438|970|Psychologist, forensic|1979-04-30|629588601083|adults_2550_female_rural.json|f97aaea4ed26ad2c5ca9be4e32a183ac|2024-02-04|01:43:50|1707007430|grocery_pos|826.73|1|fraud_Lockman, West and Runte|37.963932|-119.978227
099-70-9707|4332705711904|Jennifer|Long|F|9009 Livingston Corner Apt. 931|Catheys Valley|CA|95306|37.4404|-120.1438|970|Psychologist, forensic|1979-04-30|629588601083|adults_2550_female_rural.json|42af5bd0f46471f82b3179717a75aaf2|2024-02-04|01:50:09|1707007809|shopping_net|1138.83|1|fraud_Greenholt, O'Hara and Balistreri|37.220437|-119.909989
099-70-9707|4332705711904|Jennifer|Long|F|9009 Livingston Corner Apt. 931|Catheys Valley|CA|95306|37.4404|-120.1438|970|Psychologist, forensic|1979-04-30|629588601083|adults_2550_female_rural.json|e3cd7bf5abc26e698f8f9f3bbc8fd2cf|2024-02-04|11:30:53|1707042653|grocery_pos|1073.13|1|fraud_Kuhic Inc|38.075882|-120.033329
099-70-9707|4332705711904|Jennifer|Long|F|9009 Livingston Corner Apt. 931|Catheys Valley|CA|95306|37.4404|-120.1438|970|Psychologist, forensic|1979-04-30|629588601083|adults_2550_female_rural.json|0438fd8d6b0428a83b19668806ae61a8|2024-02-05|16:53:00|1707148380|kids_pets|451.72|1|fraud_Fahey Inc|37.391778|-121.127006
099-70-9707|4332705711904|Jennifer|Long|F|9009 Livingston Corner Apt. 931|Catheys Valley|CA|95306|37.4404|-120.1438|970|Psychologist, forensic|1979-04-30|629588601083|adults_2550_female_rural.json|9298621a8162f70b8edccf45c95b7ff5|2024-02-05|23:35:08|1707172508|health_fitness|21.44|1|fraud_Cronin, Kshlerin and Weber|36.888905|-119.411803
099-70-9707|4332705711904|Jennifer|Long|F|9009 Livingston Corner Apt. 931|Catheys Valley|CA|95306|37.4404|-120.1438|970|Psychologist, forensic|1979-04-30|629588601083|adults_2550_female_rural.json|310e6c21cd7ae0a0a62b36b68f5e9c73|2024-02-05|23:32:41|1707172361|personal_care|18.33|1|fraud_Erdman-Ebert|36.884939|-120.405713
099-70-9707|4332705711904|Jennifer|Long|F|9009 Livingston Corner Apt. 931|Catheys Valley|CA|95306|37.4404|-120.1438|970|Psychologist, forensic|1979-04-30|629588601083|adults_2550_female_rural.json|2398e6595da69978e7b76eeb022572f0|2024-02-04|23:04:07|1707084247|entertainment|18.07|1|fraud_Cruickshank-Mills|37.215055|-120.053725
099-70-9707|4332705711904|Jennifer|Long|F|9009 Livingston Corner Apt. 931|Catheys Valley|CA|95306|37.4404|-120.1438|970|Psychologist, forensic|1979-04-30|629588601083|adults_2550_female_rural.json|8ecb518f1cb4dfd4180ec7585f2b6346|2024-03-31|03:27:13|1711848433|grocery_pos|32.33|0|fraud_Vandervort-Funk|36.680353|-119.657039
099-70-9707|4332705711904|Jennifer|Long|F|9009 Livingston Corner Apt. 931|Catheys Valley|CA|95306|37.4404|-120.1438|970|Psychologist, forensic|1979-04-30|629588601083|adults_2550_female_rural.json|bb81a367d61701544bdd909ca948e864|2024-03-24|04:16:25|1711250185|grocery_net|91.07|0|fraud_Kling-Grant|37.794185|-120.818737
099-70-9707|4332705711904|Jennifer|Long|F|9009 Livingston Corner Apt. 931|Catheys Valley|CA|95306|37.4404|-120.1438|970|Psychologist, forensic|1979-04-30|629588601083|adults_2550_female_rural.json|461a64af30ac950eff1369bd74113aa5|2024-02-25|03:34:23|1708828463|gas_transport|37.54|0|fraud_Huels-Nolan|37.222544|-120.146618
099-70-9707|4332705711904|Jennifer|Long|F|9009 Livingston Corner Apt. 931|Catheys Valley|CA|95306|37.4404|-120.1438|970|Psychologist, forensic|1979-04-30|629588601083|adults_2550_female_rural.json|29d21c23275e2dfe80daf77622eee019|2024-02-24|02:44:22|1708739062|gas_transport|51.56|0|fraud_Huels-Hahn|37.048770|-120.821387
099-70-9707|4332705711904|Jennifer|Long|F|9009 Livingston Corner Apt. 931|Catheys Valley|CA|95306|37.4404|-120.1438|970|Psychologist, forensic|1979-04-30|629588601083|adults_2550_female_rural.json|8ff49d32be2b965b172f520120f36270|2024-03-06|10:50:30|1709718630|gas_transport|66.48|0|fraud_Corwin-Collins|38.283910|-119.721502
099-70-9707|4332705711904|Jennifer|Long|F|9009 Livingston Corner Apt. 931|Catheys Valley|CA|95306|37.4404|-120.1438|970|Psychologist, forensic|1979-04-30|629588601083|adults_2550_female_rural.json|fc2a1e88654fedd096e64b55a0b20855|2024-04-14|02:59:34|1713056374|grocery_pos|63.51|0|fraud_Schoen, Kuphal and Nitzsche|37.342255|-120.538483
099-70-9707|4332705711904|Jennifer|Long|F|9009 Livingston Corner Apt. 931|Catheys Valley|CA|95306|37.4404|-120.1438|970|Psychologist, forensic|1979-04-30|629588601083|adults_2550_female_rural.json|0d479b42916eaf2006d70229e72d30f2|2024-01-26|04:30:36|1706239836|gas_transport|55.92|0|fraud_Reilly, Heaney and Cole|37.313986|-119.827777
