ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
781-96-5865|30394339103583|Isaiah|Johnson|M|9503 Clarke Ramp|Owaneco|IL|62555|39.4775|-89.1951|540|Health service manager|1961-03-25|46581972445|adults_50up_male_rural.json|0534166fb14008222c33ffbe7e3ba6ff|2024-11-05|03:27:05|1730773625|grocery_pos|326.55|1|fraud_Wolf Inc|39.703640|-88.921287
781-96-5865|30394339103583|Isaiah|Johnson|M|9503 Clarke Ramp|Owaneco|IL|62555|39.4775|-89.1951|540|Health service manager|1961-03-25|46581972445|adults_50up_male_rural.json|d0c31376947955d737428f0de726b82b|2024-11-05|01:42:06|1730767326|grocery_pos|346.85|1|fraud_Goldner, Kovacek and Abbott|38.666902|-90.172138
781-96-5865|30394339103583|Isaiah|Johnson|M|9503 Clarke Ramp|Owaneco|IL|62555|39.4775|-89.1951|540|Health service manager|1961-03-25|46581972445|adults_50up_male_rural.json|2b6021f55948c7c6b2af6f477db6f9b5|2024-11-05|23:35:04|1730846104|misc_net|670.45|1|fraud_Herman, Treutel and Dickens|39.400060|-89.243007
781-96-5865|30394339103583|Isaiah|Johnson|M|9503 Clarke Ramp|Owaneco|IL|62555|39.4775|-89.1951|540|Health service manager|1961-03-25|46581972445|adults_50up_male_rural.json|530740aa5fbacbf14e442afea37d2bb4|2024-11-05|22:03:04|1730840584|misc_net|779.14|1|fraud_Parisian, Schiller and Altenwerth|38.741309|-89.273755
781-96-5865|30394339103583|Isaiah|Johnson|M|9503 Clarke Ramp|Owaneco|IL|62555|39.4775|-89.1951|540|Health service manager|1961-03-25|46581972445|adults_50up_male_rural.json|520da2d5b879ec6a8782f60a239b0548|2024-11-05|23:10:43|1730844643|misc_net|684.03|1|fraud_Kuphal-Predovic|39.849036|-89.916456
781-96-5865|30394339103583|Isaiah|Johnson|M|9503 Clarke Ramp|Owaneco|IL|62555|39.4775|-89.1951|540|Health service manager|1961-03-25|46581972445|adults_50up_male_rural.json|831372537e928edfafb752c826278bc0|2024-11-05|22:32:53|1730842373|misc_net|798.72|1|fraud_Kuphal-Predovic|40.222104|-90.009349
781-96-5865|30394339103583|Isaiah|Johnson|M|9503 Clarke Ramp|Owaneco|IL|62555|39.4775|-89.1951|540|Health service manager|1961-03-25|46581972445|adults_50up_male_rural.json|7ff64479e1aa3efe246a7d52e8a1e5a9|2024-11-06|22:34:36|1730928876|personal_care|747.86|1|fraud_Friesen-Ortiz|38.968644|-89.458833
781-96-5865|30394339103583|Isaiah|Johnson|M|9503 Clarke Ramp|Owaneco|IL|62555|39.4775|-89.1951|540|Health service manager|1961-03-25|46581972445|adults_50up_male_rural.json|012df17ef8b43e66bd66f07dd3c9298b|2024-11-06|21:29:23|1730924963|shopping_net|1084.87|1|fraud_Auer-West|39.357102|-88.624008
781-96-5865|30394339103583|Isaiah|Johnson|M|9503 Clarke Ramp|Owaneco|IL|62555|39.4775|-89.1951|540|Health service manager|1961-03-25|46581972445|adults_50up_male_rural.json|151000b6ea4e06240aaa8b5844fb41d4|2024-11-05|22:33:17|1730842397|misc_net|973.08|1|fraud_Bogisich-Homenick|38.884409|-88.540306
781-96-5865|30394339103583|Isaiah|Johnson|M|9503 Clarke Ramp|Owaneco|IL|62555|39.4775|-89.1951|540|Health service manager|1961-03-25|46581972445|adults_50up_male_rural.json|8faa0156cec320bde3a5967d2a2d3b74|2024-11-06|19:47:10|1730918830|entertainment|559.36|1|fraud_Effertz LLC|39.306052|-89.848049
781-96-5865|30394339103583|Isaiah|Johnson|M|9503 Clarke Ramp|Owaneco|IL|62555|39.4775|-89.1951|540|Health service manager|1961-03-25|46581972445|adults_50up_male_rural.json|b02971006efae6c0e8e4ba190ab44098|2024-11-06|22:36:17|1730928977|shopping_net|50.54|1|fraud_Stamm-Witting|38.688711|-88.814463
781-96-5865|30394339103583|Isaiah|Johnson|M|9503 Clarke Ramp|Owaneco|IL|62555|39.4775|-89.1951|540|Health service manager|1961-03-25|46581972445|adults_50up_male_rural.json|701caffd5df30eba77c900ce7608c55b|2024-02-10|09:57:40|1707555460|gas_transport|58.19|0|fraud_Rodriguez Group|38.722807|-90.033167
781-96-5865|30394339103583|Isaiah|Johnson|M|9503 Clarke Ramp|Owaneco|IL|62555|39.4775|-89.1951|540|Health service manager|1961-03-25|46581972445|adults_50up_male_rural.json|b4fda10f0053616ed9cbf272b8050468|2024-04-05|03:10:02|1712279402|grocery_pos|93.20|0|fraud_Schamberger-O'Keefe|39.849852|-89.899248
781-96-5865|30394339103583|Isaiah|Johnson|M|9503 Clarke Ramp|Owaneco|IL|62555|39.4775|-89.1951|540|Health service manager|1961-03-25|46581972445|adults_50up_male_rural.json|0533e5c4123727baece4a8ea5658244a|2024-03-27|04:10:08|1711509008|grocery_pos|41.31|0|fraud_Doyle Ltd|38.961352|-88.586371
781-96-5865|30394339103583|Isaiah|Johnson|M|9503 Clarke Ramp|Owaneco|IL|62555|39.4775|-89.1951|540|Health service manager|1961-03-25|46581972445|adults_50up_male_rural.json|a2afb9b1076b3e0411a1f18d6a90bd31|2024-02-25|00:47:15|1708818435|gas_transport|64.59|0|fraud_Olson, Becker and Koch|40.439128|-88.566016
781-96-5865|30394339103583|Isaiah|Johnson|M|9503 Clarke Ramp|Owaneco|IL|62555|39.4775|-89.1951|540|Health service manager|1961-03-25|46581972445|adults_50up_male_rural.json|dfa87615098a7f283ffdadb47279eb1e|2024-05-31|05:55:49|1717127749|misc_pos|58.89|0|fraud_Maggio-Fahey|39.268586|-89.803672
781-96-5865|30394339103583|Isaiah|Johnson|M|9503 Clarke Ramp|Owaneco|IL|62555|39.4775|-89.1951|540|Health service manager|1961-03-25|46581972445|adults_50up_male_rural.json|795e0996d8eeba7d969dc5895731e8f9|2024-05-13|10:47:09|1715590029|misc_net|68.80|0|fraud_Kuphal-Bartoletti|38.903415|-89.237604
781-96-5865|30394339103583|Isaiah|Johnson|M|9503 Clarke Ramp|Owaneco|IL|62555|39.4775|-89.1951|540|Health service manager|1961-03-25|46581972445|adults_50up_male_rural.json|7b0297ab1eec986afd1c7a206ca15996|2024-06-16|10:28:56|1718526536|shopping_net|66.83|0|fraud_Auer-West|40.074017|-89.574973
781-96-5865|30394339103583|Isaiah|Johnson|M|9503 Clarke Ramp|Owaneco|IL|62555|39.4775|-89.1951|540|Health service manager|1961-03-25|46581972445|adults_50up_male_rural.json|f88750fd6a18ee479166d5586f508bc9|2024-07-20|10:27:36|1721464056|entertainment|41.85|0|fraud_Beier LLC|39.221359|-88.576303
781-96-5865|30394339103583|Isaiah|Johnson|M|9503 Clarke Ramp|Owaneco|IL|62555|39.4775|-89.1951|540|Health service manager|1961-03-25|46581972445|adults_50up_male_rural.json|b8e715a061efd44ecfe3f8497adafbfb|2024-05-21|04:29:00|1716258540|misc_pos|62.49|0|fraud_Wintheiser, Dietrich and Schimmel|39.270491|-88.213648
