ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
275-12-6673|4068855022585320610|Shawn|Gray|M|7101 David Brooks|Minneapolis|MN|55428|45.0632|-93.3811|1022298|Horticulturist, amenity|1958-10-12|476359764373|adults_50up_male_urban.json
489-34-7689|639045873986|Krystal|Yu|F|8689 Meyer Manor|Richmond|CA|94804|37.9265|-122.3342|81602|Minerals surveyor|1985-07-06|36550456096|adults_2550_female_urban.json
186-93-1354|30425586176953|Alexis|Willis|F|53688 Danielle Park Apt. 872|Callahan|FL|32011|30.552|-81.8145|13854|Designer, exhibition/display|1963-12-17|592670945759|adults_50up_female_urban.json
388-97-7558|501827304541|Troy|Walters|M|91851 Ryan Branch|Rancho Cordova|CA|95670|38.6072|-121.2761|60722|Social worker|1957-02-15|78930584627|adults_50up_male_urban.json
711-82-6623|584708565026|Stephen|Barnes|M|3108 Medina Drive|Butte|MT|59701|45.9979|-112.5988|33499|Horticulturist, amenity|1982-08-06|918161499764|adults_2550_male_urban.json
378-17-8765|342966027057743|Jeffrey|Schroeder|M|588 Matthew Cove|Elwood|IN|46036|40.2803|-85.8391|11663|Sports administrator|2003-03-30|406846472945|young_adults_male_urban.json
584-44-1522|4354608138303493192|Evan|Peterson|M|277 Waters Glens|Cleveland|OH|44103|41.5157|-81.6405|769341|Technical brewer|1982-08-27|536300332804|adults_2550_male_urban.json
406-29-8213|4997591057565538|Randy|Cooper|M|60668 Calderon Extensions|San Antonio|TX|78250|29.5054|-98.6688|1595797|Surveyor, land/geomatics|1964-08-02|405343570066|adults_50up_male_urban.json
304-16-4349|180006096417950|David|Griffin|M|953 Mason Harbor Suite 021|Rio Rancho|NM|87144|35.324|-106.7099|89123|Advertising account planner|1984-05-09|727688234341|adults_2550_male_urban.json
752-17-7821|213178255390780|Steven|Clay|M|905 Perez Circles Suite 426|Altamonte Springs|FL|32714|28.6625|-81.4117|56439|Materials engineer|1990-11-21|49069900336|adults_2550_male_urban.json
014-64-2700|4482834773489|Brandon|Ramos|M|81667 Brian Meadows Suite 852|Boca Raton|FL|33431|26.3799|-80.0975|210202|Research officer, political party|1945-08-27|211031330518|adults_50up_male_urban.json
248-05-4006|4600658003648|Timothy|Torres|M|538 Kaitlyn Turnpike Apt. 736|Arcadia|CA|91007|34.1243|-118.0515|65810|Environmental education officer|1973-03-15|728042282805|adults_50up_male_urban.json
401-72-3096|6011704271217581|Lisa|Wallace|F|5360 William Terrace Apt. 951|Visalia|CA|93292|36.1946|-119.2283|142488|Engineer, land|1980-10-15|425026638239|adults_2550_female_urban.json
429-17-7786|4215012376360028|Ashley|Dominguez|F|057 Lisa Freeway|Cabot|PA|16023|40.7924|-79.76|4169|Plant breeder/geneticist|1937-02-12|735905955778|adults_50up_female_urban.json
092-87-0157|4653008113432809841|Sydney|Bray|F|2609 Bailey Spurs Apt. 580|Worcester|MA|01603|42.245|-71.838|181315|Hospital pharmacist|2003-11-12|412659963559|young_adults_female_urban.json
189-79-5336|30198361335678|Diane|Zamora|F|0402 Michael Courts|Rockaway Beach|OR|97136|45.6352|-123.913|1761|Copy|1965-06-26|785978642947|adults_50up_female_rural.json
104-35-1987|2280452461948812|Mary|Martinez|F|4730 Mary River Apt. 765|Chapel Hill|NC|27514|35.9203|-79.0372|91595|Education administrator|2000-07-28|995660520951|young_adults_female_urban.json
397-01-6806|4062128462641|Austin|Johnson|M|9083 Collins Plaza Suite 024|Glens Falls|NY|12801|43.3115|-73.6448|14707|Higher education careers adviser|1972-07-02|469010275050|adults_50up_male_urban.json
510-06-6926|5520831793696855|Angela|Guerra|F|70840 Emma Drives|Redwood City|CA|94061|37.4647|-122.2304|104429|Scientist, water quality|1957-03-19|54605894720|adults_50up_female_urban.json
817-94-7742|3552661103229451|Jordan|Mccarthy|M|2888 Vickie Alley Apt. 899|Saint Paul|MN|55117|44.9995|-93.0969|753116|Chiropractor|1974-01-04|273397200545|adults_50up_male_urban.json
818-71-7855|584754899535|Caroline|Brooks|F|5621 Jesse Lights|Spring|TX|77382|30.2106|-95.5257|316665|Copy|1992-05-01|745204658418|adults_2550_female_urban.json
102-98-7998|213187559645724|Cynthia|Daniel|F|825 Donald Valley|Commerce|OK|74339|36.9331|-94.873|2606|Diplomatic Services operational officer|1964-04-02|754563315611|adults_50up_female_urban.json
763-23-9145|4780724587319|Jeffery|Allison|M|5066 Tina Mills Suite 010|San Francisco|CA|94122|37.7593|-122.4836|805301|Manufacturing engineer|2001-08-03|353755572113|young_adults_male_urban.json
718-71-9210|30530227376050|Tracy|Hickman|M|8415 Laura Crest Apt. 809|Anoka|MN|55303|45.2825|-93.4186|46352|Radiographer, diagnostic|1992-02-09|461775178624|adults_2550_male_urban.json
722-64-1051|4535671615863|Brian|Scott|M|2311 Meyers Shoal|Concord|NH|03301|43.2185|-71.5277|48532|Production assistant, radio|1955-08-07|802854339293|adults_50up_male_urban.json
459-92-0662|6011148665551595|Cody|Johnson|M|503 Stewart Heights Apt. 597|Panama City|FL|32405|30.1949|-85.6727|118090|Media planner|1958-11-10|585087893913|adults_50up_male_urban.json
631-61-2552|4378342377575|Lori|Ford|F|4167 Rebecca Ridge Suite 699|Fulton|NY|13069|43.3211|-76.4034|24931|Video editor|1944-03-04|144011938565|adults_50up_female_urban.json
793-08-2639|3587949342836197|James|Brown|M|225 Donald Union Suite 622|Winston Salem|NC|27107|36.0403|-80.1933|250944|Programme researcher, broadcasting/film/video|1995-12-07|675461890592|adults_2550_male_urban.json
628-26-4862|4439702259256|Amanda|Sanchez|F|12762 Tina Pine Apt. 931|Newark|DE|19711|39.7011|-75.7375|138967|Patent examiner|1963-11-23|171330270699|adults_50up_female_urban.json
689-40-2799|30295609746698|Caitlin|Hudson|F|47829 Erik Extension|New Orleans|LA|70118|29.9504|-90.1236|382333|Exhibition designer|1966-01-30|985689043648|adults_50up_female_urban.json
122-13-4959|4076383961448447|David|Hernandez|M|01684 Jones Mountain|Charlotte|NC|28215|35.244|-80.7387|790689|IT trainer|1977-05-05|79477323939|adults_2550_male_urban.json
558-40-1571|30024527741775|William|Watson|M|54498 Dale Row|Hayward|CA|94544|37.6374|-122.067|177085|Loss adjuster, chartered|1968-11-02|916435153475|adults_50up_male_urban.json
459-50-2468|4253728365624958|Sara|Compton|F|603 Perez Rapid Apt. 295|Los Angeles|CA|90031|34.0783|-118.2113|2383912|Producer, television/film/video|1979-04-27|785145678062|adults_2550_female_urban.json
