ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
542-65-9083|3503674503134502|Ashley|Thomas|F|3086 Perez Village|Billingsley|AL|36006|32.6106|-86.7163|1313|Medical physicist|2003-09-25|809821955534|young_adults_female_rural.json|c2df3d73e22e2e3744b4fec2defcd044|2024-07-06|09:04:39|1720249479|grocery_pos|7.59|1|fraud_Doyle Ltd|31.973721|-86.447892
542-65-9083|3503674503134502|Ashley|Thomas|F|3086 Perez Village|Billingsley|AL|36006|32.6106|-86.7163|1313|Medical physicist|2003-09-25|809821955534|young_adults_female_rural.json|ed124a7597284b6ab7fe28cddb387223|2024-07-06|03:16:35|1720228595|grocery_pos|274.15|1|fraud_Casper, Hand and Zulauf|32.762039|-86.845253
542-65-9083|3503674503134502|Ashley|Thomas|F|3086 Perez Village|Billingsley|AL|36006|32.6106|-86.7163|1313|Medical physicist|2003-09-25|809821955534|young_adults_female_rural.json|e849fe5d92cf55fb79b786aac74383c9|2024-07-06|01:19:16|1720221556|grocery_pos|293.45|1|fraud_Stracke-Lemke|31.682853|-87.534378
542-65-9083|3503674503134502|Ashley|Thomas|F|3086 Perez Village|Billingsley|AL|36006|32.6106|-86.7163|1313|Medical physicist|2003-09-25|809821955534|young_adults_female_rural.json|c4d9ed4cd811324b0fa3870703e21ddb|2024-07-06|03:02:01|1720227721|gas_transport|335.90|1|fraud_Robel, Cummerata and Prosacco|33.254462|-86.664069
542-65-9083|3503674503134502|Ashley|Thomas|F|3086 Perez Village|Billingsley|AL|36006|32.6106|-86.7163|1313|Medical physicist|2003-09-25|809821955534|young_adults_female_rural.json|111a26dda8db59da4f190de7c078bf19|2024-07-07|22:06:08|1720382768|shopping_net|607.44|1|fraud_Volkman-Predovic|32.295653|-87.134868
542-65-9083|3503674503134502|Ashley|Thomas|F|3086 Perez Village|Billingsley|AL|36006|32.6106|-86.7163|1313|Medical physicist|2003-09-25|809821955534|young_adults_female_rural.json|546c5c2c2403142b145f675b0146c6f2|2024-07-06|23:16:45|1720300605|misc_net|821.20|1|fraud_Donnelly PLC|31.925230|-87.262905
542-65-9083|3503674503134502|Ashley|Thomas|F|3086 Perez Village|Billingsley|AL|36006|32.6106|-86.7163|1313|Medical physicist|2003-09-25|809821955534|young_adults_female_rural.json|34474ec083d6e21be91c3434d48f4670|2024-07-07|23:57:45|1720389465|shopping_net|842.91|1|fraud_Kihn, Abernathy and Douglas|32.385459|-86.486737
542-65-9083|3503674503134502|Ashley|Thomas|F|3086 Perez Village|Billingsley|AL|36006|32.6106|-86.7163|1313|Medical physicist|2003-09-25|809821955534|young_adults_female_rural.json|72abab5261a8fe2b6431851d4679ba71|2024-07-06|22:07:46|1720296466|misc_net|759.04|1|fraud_Hamill-Daugherty|32.938080|-85.943862
542-65-9083|3503674503134502|Ashley|Thomas|F|3086 Perez Village|Billingsley|AL|36006|32.6106|-86.7163|1313|Medical physicist|2003-09-25|809821955534|young_adults_female_rural.json|deecf275322630e8b6894078fd93a255|2024-07-07|22:56:23|1720385783|shopping_net|871.94|1|fraud_Heathcote, Yost and Kertzmann|33.267232|-86.704402
542-65-9083|3503674503134502|Ashley|Thomas|F|3086 Perez Village|Billingsley|AL|36006|32.6106|-86.7163|1313|Medical physicist|2003-09-25|809821955534|young_adults_female_rural.json|7e1d0025818f256be69ec2cd620e0e73|2024-07-07|23:48:18|1720388898|shopping_net|958.92|1|fraud_Cormier LLC|31.745275|-86.749258
542-65-9083|3503674503134502|Ashley|Thomas|F|3086 Perez Village|Billingsley|AL|36006|32.6106|-86.7163|1313|Medical physicist|2003-09-25|809821955534|young_adults_female_rural.json|ec08a0330e5158e4289380f4bf309788|2024-07-06|22:02:35|1720296155|misc_net|1089.10|1|fraud_Dach-Nader|33.540667|-87.683377
542-65-9083|3503674503134502|Ashley|Thomas|F|3086 Perez Village|Billingsley|AL|36006|32.6106|-86.7163|1313|Medical physicist|2003-09-25|809821955534|young_adults_female_rural.json|0df3c7dcb9f1bd7fa991604c7ebadd8b|2024-07-07|22:38:36|1720384716|shopping_net|930.44|1|fraud_Bashirian Group|31.947818|-86.051661
542-65-9083|3503674503134502|Ashley|Thomas|F|3086 Perez Village|Billingsley|AL|36006|32.6106|-86.7163|1313|Medical physicist|2003-09-25|809821955534|young_adults_female_rural.json|6a2b49019a8025f0c15cd6914e72d98f|2024-07-06|22:14:09|1720296849|misc_net|876.85|1|fraud_Schmitt Ltd|32.443794|-85.869018
542-65-9083|3503674503134502|Ashley|Thomas|F|3086 Perez Village|Billingsley|AL|36006|32.6106|-86.7163|1313|Medical physicist|2003-09-25|809821955534|young_adults_female_rural.json|86f7d1242a8ea92a4a3b5808e5d61737|2024-07-07|23:15:37|1720386937|shopping_pos|1278.19|1|fraud_Denesik and Sons|33.581934|-86.402468
614-91-7880|3543368834251968|Katherine|Johnson|F|4691 Duran Bypass Apt. 965|Rose Hill|VA|24281|36.6583|-83.3486|2487|Company secretary|2004-03-17|263515132166|young_adults_female_rural.json|470aa6ae3e6d5defd06d8f9a42c857f1|2024-04-11|01:18:32|1712791112|grocery_net|9.30|1|fraud_Dach-Borer|36.686290|-82.613039
614-91-7880|3543368834251968|Katherine|Johnson|F|4691 Duran Bypass Apt. 965|Rose Hill|VA|24281|36.6583|-83.3486|2487|Company secretary|2004-03-17|263515132166|young_adults_female_rural.json|e0a0a96eb054a8e62111e31594541df0|2024-04-11|00:38:55|1712788735|grocery_pos|5.55|1|fraud_McDermott-Weimann|37.535607|-83.259861
614-91-7880|3543368834251968|Katherine|Johnson|F|4691 Duran Bypass Apt. 965|Rose Hill|VA|24281|36.6583|-83.3486|2487|Company secretary|2004-03-17|263515132166|young_adults_female_rural.json|284ac62f08a4207e28051f3e62e39475|2024-04-11|00:56:37|1712789797|gas_transport|303.36|1|fraud_Eichmann, Bogan and Rodriguez|36.883292|-83.363494
614-91-7880|3543368834251968|Katherine|Johnson|F|4691 Duran Bypass Apt. 965|Rose Hill|VA|24281|36.6583|-83.3486|2487|Company secretary|2004-03-17|263515132166|young_adults_female_rural.json|d8f964be168721b371a757b41aaba707|2024-04-11|02:49:24|1712796564|grocery_pos|311.60|1|fraud_Heller, Gutmann and Zieme|36.622625|-82.722052
614-91-7880|3543368834251968|Katherine|Johnson|F|4691 Duran Bypass Apt. 965|Rose Hill|VA|24281|36.6583|-83.3486|2487|Company secretary|2004-03-17|263515132166|young_adults_female_rural.json|5d1e81e314320b327fd1c7363eb1aaca|2024-04-12|06:05:18|1712894718|misc_net|294.43|1|fraud_Bednar Group|36.055044|-83.682832
614-91-7880|3543368834251968|Katherine|Johnson|F|4691 Duran Bypass Apt. 965|Rose Hill|VA|24281|36.6583|-83.3486|2487|Company secretary|2004-03-17|263515132166|young_adults_female_rural.json|21e1dbf51e051c12c59f798c5c0b55e0|2024-04-11|01:37:21|1712792241|grocery_pos|571.21|1|fraud_O'Keefe-Hudson|36.301419|-83.027575
614-91-7880|3543368834251968|Katherine|Johnson|F|4691 Duran Bypass Apt. 965|Rose Hill|VA|24281|36.6583|-83.3486|2487|Company secretary|2004-03-17|263515132166|young_adults_female_rural.json|ebe5ca439700a24ab31b82f0eec78cc9|2024-04-12|23:22:17|1712956937|misc_net|790.78|1|fraud_Hayes, Marquardt and Dibbert|35.800819|-82.575058
