ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
092-87-0157|4653008113432809841|Sydney|Bray|F|2609 Bailey Spurs Apt. 580|Worcester|MA|01603|42.245|-71.838|181315|Hospital pharmacist|2003-11-12|412659963559|young_adults_female_urban.json|dfb4a60e1778cde509465bc9ed4c6680|2024-12-12|03:11:34|1733969494|grocery_pos|328.23|1|fraud_Murray-Smitham|42.639190|-71.975913
092-87-0157|4653008113432809841|Sydney|Bray|F|2609 Bailey Spurs Apt. 580|Worcester|MA|01603|42.245|-71.838|181315|Hospital pharmacist|2003-11-12|412659963559|young_adults_female_urban.json|7f6c3248911aa91bbde93e687aefaf10|2024-12-13|01:48:32|1734050912|misc_net|308.44|1|fraud_Kris-Weimann|43.143684|-71.908631
092-87-0157|4653008113432809841|Sydney|Bray|F|2609 Bailey Spurs Apt. 580|Worcester|MA|01603|42.245|-71.838|181315|Hospital pharmacist|2003-11-12|412659963559|young_adults_female_urban.json|c42dd8e9d6c5a266755d10531ed60be0|2024-12-13|10:49:12|1734083352|grocery_pos|288.25|1|fraud_Rutherford-Mertz|41.609166|-71.079461
092-87-0157|4653008113432809841|Sydney|Bray|F|2609 Bailey Spurs Apt. 580|Worcester|MA|01603|42.245|-71.838|181315|Hospital pharmacist|2003-11-12|412659963559|young_adults_female_urban.json|261993f632799656634dcc3480441934|2024-12-12|02:26:40|1733966800|grocery_pos|296.27|1|fraud_Koepp-Parker|41.924739|-72.621662
092-87-0157|4653008113432809841|Sydney|Bray|F|2609 Bailey Spurs Apt. 580|Worcester|MA|01603|42.245|-71.838|181315|Hospital pharmacist|2003-11-12|412659963559|young_adults_female_urban.json|a29c1aafdf663f4ad2ba18781699a999|2024-12-12|00:07:37|1733958457|grocery_pos|314.64|1|fraud_Heidenreich PLC|42.751349|-70.897602
092-87-0157|4653008113432809841|Sydney|Bray|F|2609 Bailey Spurs Apt. 580|Worcester|MA|01603|42.245|-71.838|181315|Hospital pharmacist|2003-11-12|412659963559|young_adults_female_urban.json|c3dc8cfdbb61e9713c6595509ab41d9d|2024-12-12|02:14:31|1733966071|grocery_pos|280.35|1|fraud_Bailey-Morar|42.272325|-71.226480
092-87-0157|4653008113432809841|Sydney|Bray|F|2609 Bailey Spurs Apt. 580|Worcester|MA|01603|42.245|-71.838|181315|Hospital pharmacist|2003-11-12|412659963559|young_adults_female_urban.json|f6edb6e14167fcb8aee9c904bb0c1e74|2024-12-12|01:59:41|1733965181|grocery_pos|931.74|1|fraud_Heller, Gutmann and Zieme|42.401120|-72.243110
092-87-0157|4653008113432809841|Sydney|Bray|F|2609 Bailey Spurs Apt. 580|Worcester|MA|01603|42.245|-71.838|181315|Hospital pharmacist|2003-11-12|412659963559|young_adults_female_urban.json|39cfbc9ac3382658193246ae1581915d|2024-12-13|22:01:01|1734123661|misc_net|654.34|1|fraud_Dach-Nader|42.393234|-72.556304
092-87-0157|4653008113432809841|Sydney|Bray|F|2609 Bailey Spurs Apt. 580|Worcester|MA|01603|42.245|-71.838|181315|Hospital pharmacist|2003-11-12|412659963559|young_adults_female_urban.json|04de5de9747051af6de43ca0cd5b3b82|2024-12-13|23:45:47|1734129947|shopping_net|7.15|1|fraud_Price Inc|43.144504|-72.090324
092-87-0157|4653008113432809841|Sydney|Bray|F|2609 Bailey Spurs Apt. 580|Worcester|MA|01603|42.245|-71.838|181315|Hospital pharmacist|2003-11-12|412659963559|young_adults_female_urban.json|16933ccb31ffd11623a1e29e7e642ccf|2024-12-13|14:53:25|1734098005|misc_pos|945.29|1|fraud_Stamm-Rodriguez|41.932930|-72.606239
