ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
717-47-5986|341660927000173|Matthew|Jones|M|6953 Kurt Curve Apt. 461|Kooskia|ID|83539|46.116|-115.9459|2001|Cytogeneticist|2007-12-26|372383372205|young_adults_male_rural.json|e0684c6a6c4072e453feaaf85b828d9a|2024-12-11|02:39:14|1733881154|gas_transport|9.07|1|fraud_Conroy-Cruickshank|46.860885|-116.076569
717-47-5986|341660927000173|Matthew|Jones|M|6953 Kurt Curve Apt. 461|Kooskia|ID|83539|46.116|-115.9459|2001|Cytogeneticist|2007-12-26|372383372205|young_adults_male_rural.json|0420013445c68111bda3aaccf37c9c1b|2024-12-11|07:22:28|1733898148|grocery_pos|11.37|1|fraud_Rowe, Batz and Goodwin|46.072136|-116.866494
717-47-5986|341660927000173|Matthew|Jones|M|6953 Kurt Curve Apt. 461|Kooskia|ID|83539|46.116|-115.9459|2001|Cytogeneticist|2007-12-26|372383372205|young_adults_male_rural.json|2864515873c9eb992798454e140d992f|2024-12-11|00:49:58|1733874598|gas_transport|321.90|1|fraud_Tillman, Dickinson and Labadie|46.824718|-116.622549
717-47-5986|341660927000173|Matthew|Jones|M|6953 Kurt Curve Apt. 461|Kooskia|ID|83539|46.116|-115.9459|2001|Cytogeneticist|2007-12-26|372383372205|young_adults_male_rural.json|7c18ddfd8861d4f4ca9faf256d0f8d1e|2024-12-12|22:00:25|1734037225|shopping_net|578.48|1|fraud_Kuhic LLC|45.168353|-115.527334
717-47-5986|341660927000173|Matthew|Jones|M|6953 Kurt Curve Apt. 461|Kooskia|ID|83539|46.116|-115.9459|2001|Cytogeneticist|2007-12-26|372383372205|young_adults_male_rural.json|2f61a50dec38c9083ec7441f246adc21|2024-12-11|22:29:29|1733952569|misc_net|830.79|1|fraud_Huel-Langworth|46.022258|-115.292805
717-47-5986|341660927000173|Matthew|Jones|M|6953 Kurt Curve Apt. 461|Kooskia|ID|83539|46.116|-115.9459|2001|Cytogeneticist|2007-12-26|372383372205|young_adults_male_rural.json|0177fe4ac57759a69a0d07b670223f02|2024-12-12|20:02:00|1734030120|shopping_net|773.64|1|fraud_Gleason-Macejkovic|46.542049|-115.353082
717-47-5986|341660927000173|Matthew|Jones|M|6953 Kurt Curve Apt. 461|Kooskia|ID|83539|46.116|-115.9459|2001|Cytogeneticist|2007-12-26|372383372205|young_adults_male_rural.json|63e74e4e2745eb0b5aed9db931e38340|2024-12-12|15:28:38|1734013718|shopping_net|936.03|1|fraud_Fisher-Schowalter|47.082638|-115.382031
717-47-5986|341660927000173|Matthew|Jones|M|6953 Kurt Curve Apt. 461|Kooskia|ID|83539|46.116|-115.9459|2001|Cytogeneticist|2007-12-26|372383372205|young_adults_male_rural.json|1f1adfe0f4ce26a9c2ffbba9df15b2fa|2024-12-11|22:42:56|1733953376|misc_net|894.06|1|fraud_Parisian, Schiller and Altenwerth|46.509333|-116.302328
717-47-5986|341660927000173|Matthew|Jones|M|6953 Kurt Curve Apt. 461|Kooskia|ID|83539|46.116|-115.9459|2001|Cytogeneticist|2007-12-26|372383372205|young_adults_male_rural.json|d775e0511c1fe649eeabafdb2152d03e|2024-12-11|23:35:34|1733956534|misc_net|1102.50|1|fraud_Jaskolski-Vandervort|45.629831|-116.548147
717-47-5986|341660927000173|Matthew|Jones|M|6953 Kurt Curve Apt. 461|Kooskia|ID|83539|46.116|-115.9459|2001|Cytogeneticist|2007-12-26|372383372205|young_adults_male_rural.json|cc1992e6c3e313dc64ef68b2ab1a9943|2024-12-12|20:01:17|1734030077|shopping_net|922.16|1|fraud_Price Inc|46.728370|-116.895410
