ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
331-87-6246|3515442094093487|Thomas|Rodriguez|M|21088 Fisher Overpass Suite 087|Roberta|GA|31078|32.7222|-84.0451|3566|Music therapist|2007-11-15|822210974874|young_adults_male_urban.json|c7afeeb306804c61a6f006b398b2b9b6|2024-01-05|03:02:38|1704420158|grocery_pos|310.82|1|fraud_Goodwin-Nitzsche|32.540113|-83.336832
331-87-6246|3515442094093487|Thomas|Rodriguez|M|21088 Fisher Overpass Suite 087|Roberta|GA|31078|32.7222|-84.0451|3566|Music therapist|2007-11-15|822210974874|young_adults_male_urban.json|d729c1711cfc4ee20c51a1b4c873f53a|2024-01-05|03:11:09|1704420669|grocery_pos|284.72|1|fraud_Casper, Hand and Zulauf|33.174789|-83.684249
331-87-6246|3515442094093487|Thomas|Rodriguez|M|21088 Fisher Overpass Suite 087|Roberta|GA|31078|32.7222|-84.0451|3566|Music therapist|2007-11-15|822210974874|young_adults_male_urban.json|38fbf2085cb948993cd3e354120752a6|2024-01-05|03:00:38|1704420038|grocery_pos|277.89|1|fraud_Osinski, Ledner and Leuschke|32.060664|-83.223611
331-87-6246|3515442094093487|Thomas|Rodriguez|M|21088 Fisher Overpass Suite 087|Roberta|GA|31078|32.7222|-84.0451|3566|Music therapist|2007-11-15|822210974874|young_adults_male_urban.json|b4226b0130b91ed676bfea3ad5290d50|2024-01-06|15:43:21|1704552201|shopping_pos|977.54|1|fraud_Roob, Conn and Tremblay|33.416244|-84.917855
331-87-6246|3515442094093487|Thomas|Rodriguez|M|21088 Fisher Overpass Suite 087|Roberta|GA|31078|32.7222|-84.0451|3566|Music therapist|2007-11-15|822210974874|young_adults_male_urban.json|11a16699c44c4aed118d5e281c1c4b53|2024-01-06|13:59:54|1704545994|shopping_net|994.58|1|fraud_Kuhic LLC|33.280551|-84.766536
331-87-6246|3515442094093487|Thomas|Rodriguez|M|21088 Fisher Overpass Suite 087|Roberta|GA|31078|32.7222|-84.0451|3566|Music therapist|2007-11-15|822210974874|young_adults_male_urban.json|18701dd725cf319279129d3338ddf47d|2024-01-06|16:18:46|1704554326|shopping_net|974.80|1|fraud_Price Inc|33.300196|-83.338109
331-87-6246|3515442094093487|Thomas|Rodriguez|M|21088 Fisher Overpass Suite 087|Roberta|GA|31078|32.7222|-84.0451|3566|Music therapist|2007-11-15|822210974874|young_adults_male_urban.json|ecc8700231e2dae0143185fd5735147e|2024-01-06|13:17:14|1704543434|shopping_net|938.74|1|fraud_Towne, Greenholt and Koepp|33.084299|-84.492998
331-87-6246|3515442094093487|Thomas|Rodriguez|M|21088 Fisher Overpass Suite 087|Roberta|GA|31078|32.7222|-84.0451|3566|Music therapist|2007-11-15|822210974874|young_adults_male_urban.json|d108e2780671c51878edff13a071e208|2024-01-06|22:07:13|1704575233|shopping_net|951.40|1|fraud_Heathcote LLC|32.655730|-84.224827
331-87-6246|3515442094093487|Thomas|Rodriguez|M|21088 Fisher Overpass Suite 087|Roberta|GA|31078|32.7222|-84.0451|3566|Music therapist|2007-11-15|822210974874|young_adults_male_urban.json|9c98491790cc21909d23066c7fdfa516|2024-02-02|05:46:07|1706849167|gas_transport|41.09|0|fraud_Jenkins, Hauck and Friesen|33.425130|-83.560320
331-87-6246|3515442094093487|Thomas|Rodriguez|M|21088 Fisher Overpass Suite 087|Roberta|GA|31078|32.7222|-84.0451|3566|Music therapist|2007-11-15|822210974874|young_adults_male_urban.json|1d2823e43b416f26a0ea2ac52a80576f|2024-03-02|01:56:38|1709340998|gas_transport|65.49|0|fraud_Christiansen, Goyette and Schamberger|32.109715|-84.251981
